original_affiliation,new_affiliation,move_to_other_affiliation?
"The George Washington University Biostatistics Center, Rockville, Maryland",n/a,True
"University of Texas Medical Branch, Galveston, Texas",n/a,True
"Department of Obstetrics and Gynecology University of North Carolina at Chapel Hill, Chapel Hill, North Carolina",Department of Obstetrics and Gynecology,False
"Department of Obstetrics and Gynecology University of Pittsburgh, Pittsburgh, Pennsylvania",n/a,True
"Department of Obstetrics and Gynecology University of Texas Health Science Center at Houston, Houston, Texas",n/a,True
"Department of Obstetrics and Gynecology, Oregon Health & Science University, Portland, Oregon",n/a,True
"Department of Obstetrics and Gynecology, University of Cincinnati, Cincinnati, Ohio",n/a,True
"Department of Biostatistics, The University of North Carolina at Chapel Hill, Chapel Hill, North Carolina",Department of Biostatistics,False
"Division of Neonatal-Perinatal Medicine, The University of North Carolina at Chapel Hill, Chapel Hill, North Carolina",Department of Pediatrics,False
"Duke Clinical Research Institute, Durham, North Carolina",n/a,True
"Pediatrix Medical Group, Greenville, Sunrise, Florida",n/a,True
"Department of Obstetrics and Gynecology, Columbia University, New York, New York",n/a,True
"Department of Obstetrics and Gynecology, Northwestern University Feinberg School of Medicine, Chicago, Illinois",n/a,True
"Department of Obstetrics and Gynecology, The George Washington University Biostatistics Center, Washington, District of Columbia",n/a,True
"Department of Obstetrics and Gynecology, University of Alabama at Birmingham, Birmingham Alabama",n/a,True
"Department of Obstetrics and Gynecology, University of Miami, Miami, Florida",n/a,True
"Department of Obstetrics and Gynecology, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina",Department of Obstetrics and Gynecology,False
"Department of Biostatistics, Gillings School of Global Public Health, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina",Department of Biostatistics,False
"Department of Epidemiology, Gillings School of Global Public Health, Carolina Population Center, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina",Department of Epidemiology|Carolina Population Center,False
"Department of Obstetrics and Gynecology, University of North Carolina School of Medicine, Chapel Hill, North Carolina",Department of Obstetrics and Gynecology,False
"Division of Genetics and Endocrinology, Children's Hospital of Boston, Harvard Medical School, Boston, Massachusetts",n/a,True
"Department of Pediatrics, University of North Carolina, Chapel Hill, North Carolina",Department of Pediatrics,False
"Duke University Medical Center, Duke Clinical Research Institute, Durham, North Carolina",n/a,True
"Duke-National University of Singapore Graduate Medical School, Singapore",n/a,True
"Pediatrix-Obstetrix Center for Research and Education, Sunrise, Florida",n/a,True
"Biostatistics Center, The George Washington University, Washington, District of Columbia",n/a,True
"Department of Obstetrics and Gynecology, Brown University, Providence, Rhode Island",n/a,True
"Department of Obstetrics and Gynecology, MetroHealth Medical Center, Case Western Reserve University, Cleveland, Ohio",n/a,True
"Department of Obstetrics and Gynecology, The University of Texas Health Science Center at Houston, Houston, Texas",n/a,True
"Department of Obstetrics and Gynecology, The University of Texas Southwestern Medical Center, Dallas, Texas",n/a,True
"Department of Obstetrics and Gynecology, University of Tennessee, Memphis, Tennessee",n/a,True
"Division of Maternal-Fetal Medicine, Department of Obstetrics and Gynecology, Wayne State University, Detroit, Michigan",n/a,True
"Department of Obstetrics and Gynecology, University of Alabama, Birmingham, Alabama",n/a,True
"Department of Obstetrics and Gynecology, University of North Carolina, Chapel Hill, North Carolina",Department of Obstetrics and Gynecology,False
"Department of Obstetrics and Gynecology, George Washington University Biostatistics Center, Washington, District of Columbia",n/a,True
"Department of Obstetrics and Gynecology, NorthShore University Health System, Evanston, Illinois",n/a,True
"Department of Obstetrics and Gynecology, Thomas Jefferson University and Drexel University, Philadelphia, Pennsylvania",n/a,True
"Department of Obstetrics and Gynecology, University of Texas Health Science Center at Houston-Children's Memorial Hermann Hospital, Houston, Texas",n/a,True
"The Eunice Kennedy Shriver National Institute of Child Health and Human Development, Bethesda, Maryland",n/a,True
"Division of Maternal-Fetal Medicine, Department of Obstetrics and Gynecology, Jefferson Medical College of Thomas Jefferson University, Philadelphia, Pennsylvania",n/a,True
"Division of Maternal-Fetal Medicine, Department of Obstetrics and Gynecology, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina",Department of Obstetrics and Gynecology,False
"George Washington University Biostatistics Center, Washington, District of Columbia",n/a,True
"Nationwide Children's Hospital, Columbus, Ohio",n/a,True
"Departments of Obstetrics and Gynecology, Brown University, Providence, Rhode Island",n/a,True
"Departments of Obstetrics and Gynecology, Case Western Reserve University-MetroHealth Medical Center, Cleveland, Ohio",n/a,True
"Departments of Obstetrics and Gynecology, Northwestern University, Chicago, Illinois",n/a,True
"Departments of Obstetrics and Gynecology, The Ohio State University, Columbus, Ohio",n/a,True
"Departments of Obstetrics and Gynecology, University of Iowa, Iowa City, Iowa",n/a,True
"Departments of Obstetrics and Gynecology, University of Pittsburgh, Pittsburgh, Pennsylvania",n/a,True
"Departments of Obstetrics and Gynecology, University of Tennessee, Memphis, Tennessee",n/a,True
"Departments of Obstetrics and Gynecology, University of Texas Southwestern Medical Center, Dallas, Texas",n/a,True
"Departments of Obstetrics and Gynecology, Wake Forest University Health Sciences, Winston-Salem, North Carolina",n/a,True
"Department of Biostatistics, George Washington University Biostatistics Center, Washington, District of Columbia",n/a,True
"Department of Obstetrics and Gynecology, Eunice Kennedy Shriver National Institute of Child Health and Human Development",n/a,True
"Department of Obstetrics and Gynecology, Oregon Health and Science University, Portland, Oregon",n/a,True
"University of Texas Health Science Center at San Antonio, San Antonio, Texas",n/a,True
"Department of Medicine, Christchurch School of Medicine, Christchurch, New Zealand; and",n/a,True
"Department of Pathology and Laboratory Medicine, University of North Carolina, Chapel Hill, North Carolina 27599-7525",Department of Pathology and Laboratory Medicine,False
Department of Obstetrics and Gynecology; Greenville Hospital System; Greenville SC USA,n/a,True
Department of Obstetrics and Gynecology; University of North Carolina; Chapel Hill NC USA,Department of Obstetrics and Gynecology,False
"Department of Obstetrics, Gynecology and Reproductive Biology; College of Human Medicine; Michigan State University; Grand Rapids MI USA",n/a,True
Department of Biostatistics; Gillings School of Global Public Health; University of North Carolina; Chapel Hill NC USA,Department of Biostatistics,False
Department of Epidemiology; Gillings School of Global Public Health; University of North Carolina; Chapel Hill NC USA,Department of Epidemiology,False
Department of Microbiology; Icahn School of Medicine at Mount Sinai; New York NY USA,n/a,True
Department of Obstetrics and Gynecology; University of North Carolina School of Medicine; Chapel Hill NC USA,Department of Obstetrics and Gynecology,False
Mammalian Genotyping Core; Lineberger Comprehensive Cancer Center; School of Medicine; University of North Carolina; Chapel Hill NC USA,UNC Lineberger Comprehensive Cancer Center,False
Boston University School of Medicine,n/a,True
"Division TEACH, University of North Carolina",University of North Carolina at Chapel Hill,False
The University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,False
"Boys Town National Research Hospital, Center for Childhood Deafness, Omaha, NE",n/a,True
"University of Iowa, Iowa City",n/a,True
"University of North Carolina, Chapel Hill",University of North Carolina at Chapel Hill,False
University of Illinois-Chicago,n/a,True
University of North Carolina-Chapel Hill,University of North Carolina at Chapel Hill,False
Duke University,n/a,True
The Ohio State University,n/a,True
"Federal University of Santa Catarina,  Brazil",n/a,True
"Federal University of São Paulo,  Brazil",n/a,True
"Greater Miami Skin and Laser Center,  USA",n/a,True
"Hospital Angeles,  Mexico",n/a,True
"Hospital General Dr Manuel Gea González,  México",n/a,True
"Hospital do Servidor Público Municipal de São Paulo,  Brazil",n/a,True
"University of Berne,  Switzerland",n/a,True
"University of Bologna,  Italy",n/a,True
"University of California,  USA",n/a,True
"University of Liège,  Belgium",n/a,True
"University of Miami,  USA",n/a,True
"University of Mississippi; University of Alabama,  USA",n/a,True
"University of North Carolina,  USA",University of North Carolina at Chapel Hill,False
"University of Oregon,  USA",n/a,True
"University of Washington,  USA",n/a,True
"Université Libre de Bruxelles,  Belgium",n/a,True
"Department of Chemistry, University of North Carolina, Chapel Hill, North Carolinar27599, United States",Department of Chemistry,False
"Department of Chemistry, University of North Carolina, Chapel Hill, North Carolina 27599, United States",Department of Chemistry,False
"School of Medicine, University of North Carolina, Chapel Hill, North Carolina 27599, United States",School of Medicine,False
"Department of §Biomedical Engineering, University of North Carolina, Chapel Hill, North Carolina 27599, UnitedrStates, and North Carolina State University, Raleigh, North Carolina 27695, United States",UNC/NCSU Joint Department of Biomedical Engineering,False
"Departmentrof Medicinal Chemistry and Masonic Cancer Center, University of Minnesota, Minneapolis, Minnesota 55455,rUnited States",n/a,True
"Lovelace Respiratory Research Institute, Albuquerque, New Mexico 87108, United States",n/a,True
"University of North Carolina at Chapel Hill, ChapelrHill, North Carolina 27599, United States",University of North Carolina at Chapel Hill,False
"Department of Agricultural andrBiological Engineering, Purdue University, West Lafayette, Indiana 47907, United States",n/a,True
"Lineberger Comprehensive CancerrCenter, Department of Biology, School of Medicine, University of North Carolina, Chapel Hill, North Carolina 27599,rUnited States",UNC Lineberger Comprehensive Cancer Center|Department of Biology,False
"School ofrBiomedical Engineeringrand Sciences, Virginia Tech-Wake Forest University, Blacksburg, Virginia 24061, United States",n/a,True
"Department of Chemistry, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States",Department of Chemistry,False
"Department of Pharmacology and Toxicology, Virginia Commonwealth University Medical Center, Richmond, Virginia 23298, United States",n/a,True
"Division of Molecular Pharmaceutics, Eshelman School of Pharmacy, University of North Carolina at Chapel Hill, North Carolina 27599, United States",Division of Molecular Pharmaceutics,False
"Hitachi High-Technologies, Tokyo, Japan",n/a,True
"Department of Chemistry, University of North Carolina at Chapel Hill, Chapel Hill, North Carolinar27599, United States",Department of Chemistry,False
"Complex Carbohydrate ResearchrCenter, University of Georgia, Athens,rGeorgia 30602, United States",n/a,True
"Division of Chemical Biologyrand Medicinal Chemistry, Eshelman School of Pharmacy, University of North Carolina, Chapel Hill, North Carolinar27599, United States",Division of Chemical Biology and Medicinal Chemistry,False
"LinebergerrComprehensive CancerrCenter, University of North Carolina, ChapelrHill, North Carolina 27599, United States",UNC Lineberger Comprehensive Cancer Center,False
"Departmentrof Chemistry and Neuroscience Center University of North Carolina at Chapel Hill Chapel Hill, NC 27599-3290",UNC Neuroscience Center|Department of Chemistry,False
"Departmentrof Chemistry, Roanoke College, Salem, VA 24153",n/a,True
"Departmentrof Chemistry, University of North Carolina at Chapel Hill, Chapel Hill, North Carolinar27599, United States",Department of Chemistry,False
"Department of Biomedical Engineering,rUniversity of North Carolina, Chapel Hill, North Carolina 27599, UnitedrStates and North Carolina State University, Raleigh, North Carolinar27695, United States",UNC/NCSU Joint Department of Biomedical Engineering,False
"Department of Chemistry, Universityrof North Carolina, Chapel Hill, North Carolina 27599, United States",Department of Chemistry,False
"LinebergerrComprehensive CancerrCenter, University of North Carolina, Chapel Hill, North Carolinar27599, United States",UNC Lineberger Comprehensive Cancer Center,False
"Department of Biostatistics and Department of Endodontics, University of North Carolina, Chapel Hill, North Carolina,r27599, United States",Department of Biostatistics|Department of Endodontics,False
"Department of Chemistry, University of North Carolina, ChapelrHill, North Carolina 27599, United States",Department of Chemistry,False
"Department of Pharmacology, University of North Carolina, ChapelrHill, North Carolina 27599, United States",Department of Pharmacology,False
"Department of Biomedical Engineering, University of North Carolina, Chapel Hill, North Carolinar27599, United States and North Carolina State University, Raleigh, North Carolina 27695, United States",UNC/NCSU Joint Department of Biomedical Engineering,False
"Departmentrof Pharmacology, University of North Carolina, Chapel Hill, North Carolina 27599, United States",Department of Pharmacology,False
"Department of BiomedicalrEngineering, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, UnitedrStates",UNC/NCSU Joint Department of Biomedical Engineering,False
"Department of Chemistry, University of North Carolina at Chapel Hill, Chapel Hill, NorthrCarolina 27599, United States",Department of Chemistry,False
"Departmentrof Pathologyrand Laboratory Medicine, Emory University School of Medicine, Atlanta, Georgia 30322, United States",n/a,True
"Emory Center forrCritical Care, Emory University School of Medicine, Atlanta, Georgia 30322, United States",n/a,True
"Department of Biomedical Engineering, University of North Carolina, Chapel Hill, North Carolinar27599, United States, and North Carolina State University, Raleigh, North Carolina 27695, United States",UNC/NCSU Joint Department of Biomedical Engineering,False
"Department of Chemistry, CBr3290, University of North Carolina, ChapelrHill, North Carolina 27599, United States",Department of Chemistry,False
"Department of Medicine, Divisionrof Hematology/Oncology, University of North Carolina, Chapel Hill, North Carolina 27599, United States",Division of Hematology/Oncology,False
"BioFluidica, LLC, c/o Carolina Kick-Start, 321 Bondurant Hall, Chapel Hill, North Carolina 27599, United States",n/a,True
"Departmentrof Biomedical Engineering, University of North Carolina, 152 MacNiderrHall, Campus Box 7575, Chapel Hill, North Carolina 27599-7575, United States",UNC/NCSU Joint Department of Biomedical Engineering,False
"Departmentrof Chemistry, Louisiana State University, 232 Choppin Hall, Baton Rouge, Louisiana 70803-1804, United States",n/a,True
"Departmentrof Chemistry, University of North Carolina, Campus Box 3290, Chapel Hill, North Carolina 27599-3290, United States",Department of Chemistry,False
"Departmentrof Surgery, Division of Surgical Oncology and Endocrine Surgery, University of North Carolina School of Medicine, 170 Manning Drive, Chapel Hill, North Carolina 27514, United States",Division of Surgical Oncology|Department of Surgery,False
"UNC Lineberger Comprehensive Cancer Center, 101 Manning Drive, ChapelrHill, North Carolina 27514, United States",UNC Lineberger Comprehensive Cancer Center,False
"University of North Carolina, School of Medicine ChapelrHill, 321 S. ColumbiarStreet, Chapel Hill, NorthrCarolina 27514, United States",School of Medicine,False
"Departmentrof Chemistry and Physics, University of North Carolina at Pembroke, Pembroke, North Carolina 28372, United States",n/a,True
"Department of Pharmacology, University of North Carolina, Chapel Hill, North Carolina 27599, United States",Department of Pharmacology,False
"Departments of Biostatistics and Endodontics, University of North Carolina, Chapel Hill, North Carolina 27599, United States",Department of Endodontics|Department of Biostatistics,False
"Environmental Public Health Division, National Health and EnvironmentalrEffects Research Laboratory, U.S. Environmental Protection Agency, Research TrianglerPark, North Carolina 27711, United States",n/a,True
"Departmentrof Biomedical Engineering, North Carolina State University, Raleigh, North Carolina, 27607, United States",n/a,True
"Departmentrof Chemistry, Louisiana State University, Baton Rouge, Louisiana 70803, United States",n/a,True
"Departmentrof Chemistry, University of North Carolina at Chapel Hill, CB 3290, Chapel Hill, North Carolina 27599, United States",Department of Chemistry,False
"Novan Therapeutics, 4222 EmperorrBoulevard, Suite 200, Durham, North Carolina 27703, United States",n/a,True
"Departmentrof Chemistry, University of North Carolina, Chapel Hill, North Carolina 27599, United States",Department of Chemistry,False
"Departmentsrof Surgery and Pharmacology, University of North Carolina, Chapel Hill, North Carolina 27599, United States",Department of Surgery|Department of Pharmacology,False
"LinebergerrComprehensive Cancer Center, University of North Carolina School of Medicine, Chapel Hill, North Carolina 27599, United States",UNC Lineberger Comprehensive Cancer Center,False
"Departmentrof Biomedical Engineering, University of North Carolina, Chapel Hill, North Carolina 27599, United States",UNC/NCSU Joint Department of Biomedical Engineering,False
"Departmentrof Neurology, SUNY Downstate Medical Center, Brooklyn, New York 11203, United States",n/a,True
"CurriculumrinrToxicology, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599-7461, United States",Curriculum in Toxicology,False
"Departmentrof Nutrition, Gillings School of Global Public Health, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599-7461, United States",Department of Nutrition,False
"Institute of Analytical Chemistry of the ASCR, v. v. i., Veveří 97, 602 00 Brno, Czech Republic",n/a,True
"Departmentrof Psychology and Neuroscience, University of Colorado, Boulder, Colorado 80309-0345, United States",n/a,True
"Departmentrof Biomedical Engineering, North Carolina State University, Raleigh, North Carolina 27695, United States",n/a,True
"Departmentrof Chemistry, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599, United States",Department of Chemistry,False
"Departmentrof Chemistry and Chemical Biology, Northeastern University, Boston, Massachusetts 02115, United States",n/a,True
Department of Urology; University of North Carolina; Chapel Hill NC USA,Department of Urology,False
Department of Urology; University of Virginia; Charlottesville VA USA,n/a,True
Scott Department of Urology; Baylor College of Medicine; Houston TX USA,n/a,True
Urology of Indiana; Male Reproductive Endocrinology and Surgery; Carmel IN USA,n/a,True
Division of Cancer Epidemiology and Genetics; National Cancer Institute; National Institutes of Health; Rockville MD USA,n/a,True
University Department of Growth and Reproduction; Copenhagen University Hospital (Rigshospitalet); Copenhagen Denmark,n/a,True
"Department of Biostatistics, School of Public Health, University of North Carolina, Chapel Hill, NC, USA",Department of Biostatistics,False
"Department of Epidemiology, School of Public Health, University of North Carolina, Chapel Hill, NC, USA",Department of Epidemiology,False
"Department of Surgery, Center for Translational Injury Research, University of Texas Health Science Center-Houston, Houston, TX, USA, ",n/a,True
"Division of Epidemiology and Community Health, School of Public Health, University of Minnesota, Minneapolis, MN, USA",n/a,True
"National Health Research Institutes, Taipei, Taiwan, ROC",n/a,True
Department of Biostatistics; St. Jude Children's Research Hospital; Memphis TN 38105 USA,n/a,True
Department of Bone Marrow Transplantation and Cellular Therapy; St. Jude Children's Research Hospital; Memphis TN 38105 USA,n/a,True
"Department of Genetics, Department of Biostatistics; University of North Carolina; Chapel Hill NC 27599 USA",Department of Genetics|Department of Biostatistics,False
Department of Oncology; St. Jude Children's Research Hospital; Memphis TN 38105 USA,n/a,True
Department of Pharmaceutical Sciences; St. Jude Children's Research Hospital; Memphis TN 38105 USA,n/a,True
Department of Statistics and Probability; Michigan State University; East Lansing MI 48824 USA,n/a,True
Johns Hopkins Medical Institute; Baltimore MD 21231 USA,n/a,True
"Key Laboratory of Systems and Control, Academy of Mathematics and Systems Science; Chinese Academy of Sciences; Beijing 100190 P.R. China",n/a,True
University of Colorado School of Medicine and Children's Hospital Colorado; Aurora CO 80045 USA,n/a,True
"From Indiana University School of Medicine, Regenstrief Institute, Indiana University Melvin and Bren Simon Cancer Center, Richard L. Roudebush Veterans Affairs Medical Center, and Indianapolis Gastroenterology Research Foundation, Indianapolis, Indiana, and University of North Carolina at Chapel Hill, Chapel Hill, North Carolina.",n/a,True
Department of Preventive Medicine; Northwestern University Feinberg School of Medicine; Chicago; IL,n/a,True
Departments of Nutrition and Epidemiology; University of North Carolina-Chapel Hill; Chapel Hill; NC,Department of Nutrition|Department of Epidemiology,False
"Departments of Psychiatry, Neurology, and Epidemiology; University of California, San Francisco and San Francisco VA Medical Center; San Francisco; CA",n/a,True
"Division of Cardiovascular Sciences; National Heart, Lung, and Blood Institute; Bethesda; MD",n/a,True
Division of Epidemiology and Community Health; University of Minnesota; Minneapolis; MN,n/a,True
Division of Research; Kaiser Permanente Northern California; Oakland; CA,n/a,True
"Laboratory of Epidemiology, Demography, and Biometry; National Institute on Aging; Bethesda; MD",n/a,True
Department of Cell and Molecular Physiology; University of North Carolina; Chapel Hill; NC,Department of Cell and Molecular Physiology,False
Department of Community Health Sciences; University of Calgary; Calgary; Alberta; Canada,n/a,True
Department of Neurology; Korea University College of Medicine; Seoul; South Korea,n/a,True
Department of Physiology; Hotchkiss Brain Institute; University of Calgary; Calgary; Alberta; Canada,n/a,True
Departments of Radiology; Keimyung University; Daegu; South Korea,n/a,True
Neurology; Dongsan Medical Center; Keimyung University; Daegu; South Korea,n/a,True
Department of Biostatistical Sciences; Division of Public Health Sciences; Wake Forest University School of Medicine; Winston-Salem NC,n/a,True
Department of Environmental Sciences and Engineering; Gillings School of Global Public Health; University of North Carolina at Chapel Hill; Chapel Hill NC,Department of Environmental Sciences and Engineering,False
Department of Epidemiology; Brown University School of Public Health; Providence RI,n/a,True
Department of Medicine; Brigham and Women's Hospital; Harvard Medical School; Boston MA,n/a,True
"Department of Neurology; University of Southern California, Keck School of Medicine; Los Angeles CA",n/a,True
"Department of Preventive Medicine; University of Southern California, Keck School of Medicine; Los Angeles CA",n/a,True
Department of Psychology; University of Southern California; Los Angeles CA,n/a,True
Department of Psychology; University of Wisconsin; Milwaukee WI,n/a,True
"Department of Epidemiology, Gillings School of Global Public Health; University of North Carolina; Chapel Hill NC",Department of Epidemiology,False
Department of Medicine; Wake Forest School of Medicine; Winston-Salem NC,n/a,True
Department of Neurology and Feil Family Brain and Mind Research Institute; Weill Cornell Medical College; New York NY,n/a,True
Division of Cardiology; Weill Cornell Medical College; New York NY,n/a,True
Division of Epidemiology and Community Health; University of Minnesota; Minneapolis MN,n/a,True
"Epidemiological Cardiology Research Center, Department of Epidemiology and Prevention; Wake Forest School of Medicine; Winston-Salem NC",n/a,True
"Department of Epidemiology; Gillings School of Global Public Health, University of North Carolina; Chapel Hill NC",Department of Epidemiology,False
