id,citation,license,retracted,full_text_format,full_text_href,cdr_url,has_fileset
PMC11882396,J Int AIDS Soc. 2025 Mar 5; 28(3):e26434,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/ad/07/PMC11882396.tar.gz,,
PMC11899484,Animals (Basel). 2025 Mar 4; 15(5):729,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/f2/e4/PMC11899484.tar.gz,,
PMC11880385,Nat Commun. 2025 Mar 4; 16:2156,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/03/e9/PMC11880385.tar.gz,,
PMC11898445,Cells. 2025 Mar 3; 14(5):368,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/fd/c8/PMC11898445.tar.gz,,
PMC11875383,PLoS One. 2025 Mar 3; 20(3):e0314168,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/e7/cd/PMC11875383.tar.gz,,
PMC11874679,J Rural Health. 2025 Mar 3 Winter; 41(1):e70007,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/02/77/PMC11874679.tar.gz,,
PMC11872959,Prog Orthod. 2025 Mar 3; 26:9,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/4f/b7/PMC11872959.tar.gz,,
PMC11838577,bioRxiv. 2025 Mar 2;:2025.02.03.636319,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/63/25/PMC11838577.tar.gz,,
PMC11892670,Ann Am Thorac Soc.; 22(3):367-377,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/3b/60/PMC11892670.tar.gz,,
PMC11892659,Ann Am Thorac Soc.; 22(3):339-349,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/16/65/PMC11892659.tar.gz,,
PMC11875499,Gut Microbes.; 17(1):2473518,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/12/46/PMC11875499.tar.gz,,
PMC11873239,Sci Rep. 2025 Mar 1; 15:7264,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/02/81/PMC11873239.tar.gz,,
PMC11901918,Nutrients. 2025 Feb 28; 17(5):856,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/f4/bb/PMC11901918.tar.gz,,
PMC11888528,medRxiv. 2025 Feb 28;:2025.02.25.25322830,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/51/94/PMC11888528.tar.gz,,
PMC11869649,BMC Med Res Methodol. 2025 Feb 28; 25:54,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/32/b9/PMC11869649.tar.gz,,
PMC11899607,Diagnostics (Basel). 2025 Feb 27; 15(5):576,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/ce/12/PMC11899607.tar.gz,,
PMC11888504,medRxiv. 2025 Feb 27;:2025.02.26.25322913,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/c2/b0/PMC11888504.tar.gz,,
PMC11879645,Bioinformatics. 2025 Feb 27; 41(3):btaf026,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/9c/aa/PMC11879645.tar.gz,,
PMC11868580,NPJ Genom Med. 2025 Feb 27; 10:14,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/12/c9/PMC11868580.tar.gz,,
PMC11868557,Npj Viruses. 2025 Feb 27; 3:16,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/47/0c/PMC11868557.tar.gz,,
PMC11899398,Cancers (Basel). 2025 Feb 26; 17(5):799,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/82/06/PMC11899398.tar.gz,,
PMC11865383,J Ophthalmic Inflamm Infect. 2025 Feb 26; 15:13,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/7a/50/PMC11865383.tar.gz,,
PMC11429993,bioRxiv. 2025 Feb 26;:2024.09.17.613562,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/47/4a/PMC11429993.tar.gz,,
PMC11888321,bioRxiv. 2025 Feb 25;:2025.02.25.640155,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/8f/26/PMC11888321.tar.gz,,
PMC11871919,Open Access J Contracept. 2025 Feb 25; 16:31-41,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/0c/cc/PMC11871919.tar.gz,,
PMC11863691,BMC Med Inform Decis Mak. 2025 Feb 25; 25:102,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/fd/3e/PMC11863691.tar.gz,,
PMC10793400,bioRxiv. 2025 Feb 25;:2023.12.25.573288,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/cb/71/PMC10793400.tar.gz,,
PMC11851236,JAMA Netw Open. 2025 Feb 24; 8(2):e2461327,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/11/4a/PMC11851236.tar.gz,,
PMC11850789,Nat Commun. 2025 Feb 24; 16:1905,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/15/fd/PMC11850789.tar.gz,,
PMC11849833,PLOS Glob Public Health. 2025 Feb 24; 5(2):e0003763,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/16/e4/PMC11849833.tar.gz,,
PMC11849317,J Exp Clin Cancer Res. 2025 Feb 24; 44:67,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/0e/58/PMC11849317.tar.gz,,
PMC11887456,WIREs Water. 2025 Feb 23 Jan-Feb; 12(1):e70005,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/05/d9/PMC11887456.tar.gz,,
PMC11870630,bioRxiv. 2025 Feb 23;:2025.02.23.639703,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/0b/a5/PMC11870630.tar.gz,,
PMC11870461,bioRxiv. 2025 Feb 23;:2025.02.18.638901,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/ee/09/PMC11870461.tar.gz,,
PMC11847982,Alzheimers Dement. 2025 Feb 23; 21(2):e14613,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/ef/bc/PMC11847982.tar.gz,,
PMC11901138,J Clin Med. 2025 Feb 21; 14(5):1447,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/5b/ac/PMC11901138.tar.gz,,
PMC11875316,medRxiv. 2025 Feb 21;:2025.02.19.25322561,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/af/ba/PMC11875316.tar.gz,,
PMC11843728,OTO Open. 2025 Feb 21; 9(1):e70079,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/ed/f3/PMC11843728.tar.gz,,
PMC10980133,medRxiv. 2025 Feb 21;:2024.03.11.24304083,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/28/5a/PMC10980133.tar.gz,,
PMC11882435,Front Mol Biosci. 2025 Feb 20; 12:1493891,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/9a/14/PMC11882435.tar.gz,,
PMC11875236,medRxiv. 2025 Feb 20;:2025.02.18.25322464,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/5b/71/PMC11875236.tar.gz,,
PMC11853556,Bioanalysis.; 17(3):1875-198,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/55/a3/PMC11853556.tar.gz,,
PMC11843370,JAMA Netw Open. 2025 Feb 20; 8(2):e2458311,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/0a/8f/PMC11843370.tar.gz,,
PMC11842996,BMJ Glob Health. 2025 Feb 20; 10(2):e015759,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/12/a2/PMC11842996.tar.gz,,
PMC11886739,ACS Omega. 2025 Feb 19; 10(8):7734-7740,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/1b/97/PMC11886739.tar.gz,,
PMC11880232,Front Aging Neurosci. 2025 Feb 19; 17:1531628,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/48/2e/PMC11880232.tar.gz,,
PMC11872735,Orthop J Sports Med. 2025 Feb 19; 13(2):23259671241301376,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/4d/7a/PMC11872735.tar.gz,,
PMC11841716,J Acquir Immune Defic Syndr. 2025 Apr 1; 98(4):386-394,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/50/b2/PMC11841716.tar.gz,,
PMC11840852,J Prim Care Community Health. 2025 Feb 19; 16:21501319251320709,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/3c/8c/PMC11840852.tar.gz,,
PMC11837736,Alzheimers Dement (N Y). 2025 Feb 19; 11(1):e70024,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/37/f0/PMC11837736.tar.gz,,
PMC11837431,BMC Immunol. 2025 Feb 19; 26:8,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/1c/9e/PMC11837431.tar.gz,,
PMC11837303,Harm Reduct J. 2025 Feb 19; 22:18,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/26/d4/PMC11837303.tar.gz,,
PMC11483067,bioRxiv. 2025 Feb 19;:2024.10.11.617690,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/73/f8/PMC11483067.tar.gz,,
PMC11383676,bioRxiv. 2025 Feb 19;:2024.08.30.610517,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/76/2d/PMC11383676.tar.gz,,
PMC11370457,bioRxiv. 2025 Feb 19;:2024.08.22.609145,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/de/56/PMC11370457.tar.gz,,
PMC11326355,medRxiv. 2025 Feb 19;:2024.07.08.24309596,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/ef/fc/PMC11326355.tar.gz,,
PMC11854159,Cells. 2025 Feb 18; 14(4):306,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/f3/ce/PMC11854159.tar.gz,,
PMC11854059,Children (Basel). 2025 Feb 18; 12(2):245,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/97/b8/PMC11854059.tar.gz,,
PMC11852065,Behav Sci (Basel). 2025 Feb 18; 15(2):228,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/b8/35/PMC11852065.tar.gz,,
PMC11837132,Implement Res Pract. 2025 Feb 18; 6:26334895251319812,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/9e/56/PMC11837132.tar.gz,,
PMC11870554,bioRxiv. 2025 Feb 17;:2025.02.17.637997,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/06/0a/PMC11870554.tar.gz,,
PMC11870496,bioRxiv. 2025 Feb 17;:2025.02.17.638714,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/38/c4/PMC11870496.tar.gz,,
PMC11861806,Viruses. 2025 Feb 17; 17(2):276,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/c1/57/PMC11861806.tar.gz,,
PMC11854586,Children (Basel). 2025 Feb 17; 12(2):239,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/20/bc/PMC11854586.tar.gz,,
PMC11834214,J Eat Disord. 2025 Feb 17; 13:29,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/bf/35/PMC11834214.tar.gz,,
PMC11832621,Sleep Breath. 2025 Feb 17; 29(1):106,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/95/b8/PMC11832621.tar.gz,,
PMC11832166,eLife.; 12:RP91011,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/24/6d/PMC11832166.tar.gz,,
PMC11847612,Int J Biomed Imaging. 2025 Feb 16; 2025:6694599,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/a4/b8/PMC11847612.tar.gz,,
PMC11844567,bioRxiv. 2025 Feb 16;:2025.02.12.637902,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/fd/31/PMC11844567.tar.gz,,
PMC11844530,bioRxiv. 2025 Feb 16;:2025.02.12.637894,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/fa/08/PMC11844530.tar.gz,,
PMC11830073,Nat Commun. 2025 Feb 15; 16:1667,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/73/8e/PMC11830073.tar.gz,,
PMC11854650,Diagnostics (Basel). 2025 Feb 14; 15(4):467,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/4d/8f/PMC11854650.tar.gz,,
PMC11844539,bioRxiv. 2025 Feb 14;:2025.02.14.638232,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/f5/14/PMC11844539.tar.gz,,
PMC11828933,NPJ Precis Oncol. 2025 Feb 14; 9:47,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/a2/3c/PMC11828933.tar.gz,,
PMC11828899,Nat Commun. 2025 Feb 14; 16:1596,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/ab/95/PMC11828899.tar.gz,,
PMC11828413,PLOS Glob Public Health. 2025 Feb 14; 5(2):e0004205,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/1f/15/PMC11828413.tar.gz,,
PMC11827150,BMC Public Health. 2025 Feb 14; 25:610,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/8f/9a/PMC11827150.tar.gz,,
PMC11826322,Alzheimers Dement. 2025 Feb 14; 21(2):e14620,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/f2/3c/PMC11826322.tar.gz,,
PMC11873968,J Phys Chem B. 2025 Feb 13; 129(8):2235-2245,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/4b/67/PMC11873968.tar.gz,,
PMC11865185,Front Digit Health. 2025 Feb 13; 7:1508163,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/08/79/PMC11865185.tar.gz,,
PMC11844639,Res Sq. 2025 Feb 13;:rs.3.rs-5968391,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/b0/87/PMC11844639.tar.gz,,
PMC11839127,bioRxiv. 2025 Feb 13;:2025.02.08.635393,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/66/6a/PMC11839127.tar.gz,,
PMC11827193,BMC Public Health. 2025 Feb 13; 25:609,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/c0/0c/PMC11827193.tar.gz,,
PMC11827149,BMC Bioinformatics. 2025 Feb 13; 26:52,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/94/5e/PMC11827149.tar.gz,,
PMC11827130,BMC Med Inform Decis Mak. 2025 Feb 13; 25:78,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/82/7e/PMC11827130.tar.gz,,
PMC11826359,JAMA Netw Open. 2025 Feb 13; 8(2):e2459490,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/b3/c6/PMC11826359.tar.gz,,
PMC11825435,J Ophthalmic Inflamm Infect. 2025 Feb 13; 15:8,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/20/eb/PMC11825435.tar.gz,,
PMC11889943,Eur J Obstet Gynecol Reprod Biol X. 2025 Feb 12; 25:100373,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/0d/d1/PMC11889943.tar.gz,,
PMC11860945,Front Toxicol. 2025 Feb 12; 7:1535098,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/9f/01/PMC11860945.tar.gz,,
PMC11851157,Alzheimers Dement. 2025 Feb 12; 21(2):e14549,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/3e/f1/PMC11851157.tar.gz,,
PMC11817934,Sci Adv.; 11(7):eads1591,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/b4/5c/PMC11817934.tar.gz,,
PMC11813588,Proc Biol Sci.; 292(2040):20243055,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/7d/c9/PMC11813588.tar.gz,,
PMC11811730,Nucleic Acids Res. 2025 Feb 12; 53(4):gkaf056,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/9d/f3/PMC11811730.tar.gz,,
PMC11873931,J Med Chem. 2025 Feb 11; 68(4):4022-4039,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/8e/51/PMC11873931.tar.gz,,
PMC11866674,J Cutan Aesthet Surg. 2025 Feb 11 Jan-Mar; 18(1):16-18,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/aa/24/PMC11866674.tar.gz,,
PMC11862759,JMIR Res Protoc. 2025 Feb 11; 14:e66127,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/c4/9e/PMC11862759.tar.gz,,
PMC11850257,Front Nutr. 2025 Feb 11; 12:1534195,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/a0/18/PMC11850257.tar.gz,,
PMC11741258,bioRxiv. 2025 Feb 11;:2025.01.06.631598,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/87/71/PMC11741258.tar.gz,,
PMC11868475,Diabetes Ther. 2025 Mar 10; 16(3):527-545,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/d5/75/PMC11868475.tar.gz,,
PMC11855543,Int J Environ Res Public Health. 2025 Feb 10; 22(2):245,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/d9/9f/PMC11855543.tar.gz,,
PMC11810021,Plast Reconstr Surg Glob Open. 2025 Feb 10; 13(2):e6525,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/c6/84/PMC11810021.tar.gz,,
PMC11809881,PLoS One. 2025 Feb 10; 20(2):e0316198,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/55/5b/PMC11809881.tar.gz,,
PMC11809869,PLoS One. 2025 Feb 10; 20(2):e0318704,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/ee/a2/PMC11809869.tar.gz,,
PMC11895855,Cureus.; 17(2):e78773,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/62/ff/PMC11895855.tar.gz,,
PMC11807331,BMC Bioinformatics. 2025 Feb 9; 26:45,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/72/42/PMC11807331.tar.gz,,
